Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~HGT-300.PrjPCB|ReportField=ProjectFullPath~E:\2017\TemperatureControl\Hardware\Cool_MainControl_Board\HGT-300.PrjPCB|ReportField=Title~Bill of Materials For Project [HGT-300.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~435|ReportField=ReportTime~10:06:51|ReportField=ReportDate~2017/7/26|ReportField=ReportDateTime~2017/7/26 10:06:51|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2017/7/26|ReportField=CurrentTime~10:06:16|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\2017\TemperatureControl\Hardware\Cool_MainControl_Board\SYSTEM_Control.SchDoc|ReportField=DocumentName~SYSTEM_Control.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2017/4/21|ReportField=Organization~|ReportField=ProjectName~HGT-300.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~HGT-300.PrjPCB|ReportField=DataSourceFullPath~E:\2017\TemperatureControl\Hardware\Cool_MainControl_Board\HGT-300.PrjPCB
350次/0.25W||R34, R39, R107, R115|R0805|RES2|4
3k次/0.25W||R35, R37, R109, R112|R0805|RES2|4
1.5k次/0.25W||R44|R0805|RES2|1
2k次/DIP/0.02%/10ppm||R46, R50, R58, R62|AXIAL-0.6-R|RES2|4
10k次/DIP/0.02%/10ppm||R47, R59, R106|AXIAL-0.6-R|RES2, RES3|3
9.1k次/DIP/0.1%/25ppm||R48, R60|AXIAL0.4|RES2|2
5.1k次/DIP/0.02%/10ppm||R52, R64|AXIAL-0.6-R|RES2|2
1k次/DIP/0.1%/25ppm||R53, R54, R65, R66, R78|AXIAL0.4|RES2|5
5.6k次/DIP/0.1%/25ppm||R57, R69|AXIAL0.4|RES2|2
2k次/DIP/0.02%/25ppm||R70, R74|AXIAL-0.6-R|RES2|2
5.1k次/DIP/0.02%/25ppm||R71|AXIAL-0.6-R|RES2|1
13k次/DIP/0.1%/25ppm||R72|AXIAL0.4|RES2|1
5.1k次/DIP/0.2%/25ppm||R76|AXIAL-0.6-R|RES2|1
2.2k次/DIP/0.1%/25ppm||R77, R83, R90, R97|AXIAL0.4|RES2|4
1.8k次/DIP/0.1%/25ppm||R81|AXIAL0.4|RES2|1
6.2k次/DIP/0.1%/25ppm||R81|AXIAL0.4|RES2|1
200k次/DIP/0.1%/25ppm||R82, R89, R96|AXIAL0.4|RES2|3
240次/DIP/0.1%/25ppm||R84, R91, R98|AXIAL0.4|RES2|3
200k次/0805/F||R85, R92, R99|R0805|RES2|3
6.8k次/DIP/0.1%/25ppm||R86, R87, R93, R94, R100, R101|AXIAL0.4|RES2|6
33k次/DIP/0.1%/25ppm||R88, R95, R102|AXIAL0.4|RES2|3
4.7K次/DIP/0.02%/10ppm||R104|AXIAL-0.6-R|RES2|1
6.2k次/DIP/0.02%/10ppm||R105|AXIAL-0.6-R|RES3|1
15k次/DIP/0.02%/10ppm||R108|AXIAL-0.6-R|RES3|1
5.1k次/DIP/0.1%/25ppm||R111|AXIAL-0.6-R|RES2|1
300次/DIP/0.02%/10ppm||R114|AXIAL-0.6-R|RES2|1
14.1k次/DIP/0.02%/10ppm||R116|AXIAL-0.6-R|RES3|1
500次/0.5W/G||RP1, RP3, RP5, RP6|3224W|RPOT|4
200次/0.5W/G||RP2|3224W|RPOT|1
200次/500/0.5W/G||RP4|3224W|RPOT|1
391K||RV1, RV2|RV0.3|VARISTOR|2
ESD15V32D-LC||TVS11, TVS16, TVS17, TVS18|SOD323|TVS|4
ESD08V32D-LC||TVS12, TVS13, TVS14, TVS15|SOD323|TVS|4
AT24C128||U1|SO-8|24WC02|1
STM32F407VGT||U2|LQFP-100|STM32F407VGT|1
ULN2003|U?|U6|SOIC-16|ULN2003|1
LM2596||U7|TO263|LM2596|1
LM2676S-12||U8|TO-263-7|LM2676|1
ADUM1201||U9, U11, U12, U15|SOIC8_N|ADUM1201|4
DS2480B+||U10, U13|SOIC8_N|DS2480B+|2
MAX232||U14|SOP16|MAX232_DIP16|1
LM337/TO-220H||U16, U39|TO220H|LM337|2
LM317/TO-220H|L|U17, U42|TO220H|LM317|2
LM78L05||U18, U43|TO-220|LM78L05|2
REF3333/SOT23||U19|SOT-23-B|REF33XX|1
AS1117M3-33/SOT-223||U20, U44|SOT-223-3L(M3)|AS1117M3-33|2
LM358/SO-8||U21, U24, U27|SO-8|MC1458D|3
OP07CZ/SO-8||U22, U23, U25, U26, U28, U29, U30, U32, U33, U35, U36, U38, U40|SO-8|OP07CZ|13
HCNR201/WDIP8||U31, U34, U37|DIP08W|HCNR201|3
LM399AH||U41|LM399|LM399AH|1
MAX706AS/SO8||U45|SO-8|MAX705CPA|1
VO1_VEE_-12V||VO1|TESTSMD|CON1|1
VO2_VCC_+12V||VO2|TESTSMD|CON1|1
100次/0.5W/G||VR1|3224W|RPOT|1
20k次/0.5W/J||W1, W3, W5|3224W|RPOT|3
10k次/0.5W/J||W2, W4, W6|3224W|RPOT|3
8.00MHz||Y2|XTAL_SOCKET|CRYSTAL|1
|Capacitor|Y3, Y4, Y5|CY1002|CAP|3
